Load(kN),Deflection(mm)
9.97166735953841,1.4212027444678015
10.016166458874503,1.652126154559616
10.27341178200602,1.7400747324885946
10.244003121140775,2.0199324202555045
10.224788821004497,2.2257907040597806
10.43769897500682,2.3115793281646555
10.32818536912476,2.4206108268630087
10.4336970927041,2.4231193175144825
10.463542298172559,2.4483322256238633
10.590456044636545,2.319653738838833
10.621720441064678,2.247664026463247
10.758839980929386,2.1669151004903773
10.772551167689675,2.15862551401
10.895288441035586,1.9715095691589037
10.716281307157871,1.7659186209296294
10.828041112124177,1.673478892793007
10.65260997469114,1.588296214482242
10.965358474883786,1.4881035491909549
10.916201602747233,1.3495974284494074
10.963117187101044,1.3050241579420037
10.854805820289418,1.2629701961405781
10.885091167284198,1.2136997143996087
11.045040285197745,1.3347890470015416
10.893369194380908,1.3157147817595072
10.940587703811742,1.3324397069754657
10.922078131207034,1.443609916489082
11.156877791845842,1.4084116712295902
11.014872883889035,1.4174157494854094
11.127025372927578,1.4477616347990794
10.962352065974935,1.4174290722108545
10.91868357652338,1.3678432077731715
10.975641400104413,1.2450542984689972
10.848197783353806,1.1765241270250095
10.865181559638462,0.9473995483327005
10.825706483629448,0.867363037904626
10.595083100837119,0.6034594091588542
10.841202437442602,0.33982772269552425
10.706180309602612,0.10839007428214517
10.65820737557425,-0.09698570487080171
10.61468790818505,-0.3454472187119399
10.407863744945503,-0.6803056358226973
10.43736705617882,-0.8879200507401792
10.539760720506083,-1.08926207275538
10.423280458770005,-1.216511681291028
10.378337779929044,-1.2594460180924627
10.2077089023335,-1.3287364909259083
10.186772596579612,-1.4426624374859378
10.439339593932589,-1.5725577867040852
10.038428231174581,-1.509790742093814
10.063144361653405,-1.434232605209662
9.96556060608057,-1.308021952788239
9.92719256138854,-1.412341172418384
9.550382783135973,-1.2221716750828089
9.679082561887217,-1.247745252968141
9.701418704544968,-1.1613228123422052
9.593379304380584,-1.3065654692551871
9.714876892522602,-1.3074386581861608
9.536233183991133,-1.401155295282582
9.489765823404378,-1.4746009880282596
9.51928660713085,-1.5331463591341459
9.211665920445562,-1.6669205851532831
9.296971690833201,-1.75700245861386
9.162920429408919,-1.87510353374295
9.303978389278521,-2.13233578606791
9.24714025671354,-2.1576163016531975
9.133261831675867,-2.2402244357975403
9.177388271047082,-2.4935071138147937
9.158495139374482,-2.363335060598603
9.078570375829583,-2.333928864879825
9.05823717577935,-2.314162992800983
8.969656029463483,-2.26931500004269
9.050132774149457,-2.1247308089942005
8.895042992151168,-1.988536100537957
9.015893039622412,-1.8117876015579006
9.00903171360304,-1.6182218137252884
9.074484353813633,-1.3589524494076057
9.19375479943022,-1.2002004333748484
9.006590421591653,-0.9074299125098615
8.975487344141362,-0.7152781420088927
8.902952328033775,-0.5918973783849126
9.192900053632956,-0.3867484532160587
9.002997147069708,-0.3068930992015715
9.14291828151481,-0.2668260110126285
9.166328579129175,-0.044498768497797755
9.054143544851668,-0.07148442570595882
9.074320518035249,-0.06293545882495985
9.118206707126095,-0.08843030745765344
9.251001586142223,0.0017370355136564842
9.3908260724129,0.029103702595961806
9.326755924022192,0.01965987952412246
9.392294173493916,-0.018362330963093587
9.402626444997018,0.04951460284437251
9.633891802026618,0.043797139995240805
9.390472896654776,0.16243269695961832
9.631202627682345,0.42260611328755615
9.575426756631753,0.4169938974123709
9.859180886574267,0.6513209873408811
9.885375752666206,0.6895364988445257
9.759462595213312,0.9773028150910001
9.991660849241038,1.1608483679257382
9.876398165492864,1.4411424585357826
10.019180271058705,1.5040271900541502
10.046358602638294,1.8388792850865894
10.096552828508962,1.9279149752338223
10.30059977709422,2.0855455288327067
10.253003983873224,2.192426627341255
10.354932903226198,2.317263537945638
10.486687584164644,2.4206800327988294
10.337975451809532,2.407706930417947
10.558803213729355,2.3945000397242477
10.57418377912573,2.215206075910684
10.544199568836879,2.1131817368867125
10.511923409046183,2.0442275122268625
10.729814020918848,1.9255149556542663
10.92384585123041,1.8107034431838853
10.898626193427035,1.6318026426477972
10.762917850744707,1.660179121695301
10.960366113687485,1.4365924677773507
10.855722290358345,1.4364700103759158
11.010842340292227,1.3144596834547637
11.13901959612079,1.2913509977161346
10.894244430077737,1.305321017600678
11.09531631252954,1.2853059087025185
11.093236222900021,1.395732706101408
11.085839175549006,1.379739171045475
10.972863022217178,1.3742894957153742
10.789603367456786,1.3728512432840545
11.180915992636317,1.4604800442433108
10.96633395691074,1.513289785634738
11.12157611032238,1.3949820479844057
11.086861922058878,1.3096651469997267
10.932447295789034,1.361496718622563
10.81546137503933,1.1948104472843124
10.664443899820416,0.9995573074467801
10.557270426137267,0.7749633026603293
10.784627593446103,0.5642862998724699
10.675947241539754,0.41748029637388373
10.82174743595218,0.14454307196714813
10.681072889650444,-0.15238797935923326
10.652424717512206,-0.41382949640294214
10.57671502528467,-0.611295478741202
10.555455479353984,-0.8440548738822062
10.456211255753109,-0.9921251458106672
10.390669793267858,-1.116957484400867
10.505044442810377,-1.3826333991730646
10.28039472519712,-1.3711768943480045
10.226976045403061,-1.3670039459306154
10.209578397705853,-1.4658682188134653
10.13592469268335,-1.426711333397218
10.118874910951552,-1.5909022313963217
10.049214086456994,-1.3770079442940648
9.970258876471895,-1.4073069172736061
9.851024257065005,-1.3193069043873766
9.914922654974164,-1.2592424705128877
9.73254376493827,-1.3647187219377983
9.65593367918607,-1.3512350868173257
9.813805495987914,-1.363591469882464
9.578985134814934,-1.403569776157841
9.5439276943558,-1.3631298237040679
9.414326071856317,-1.566248119107869
9.354357913048922,-1.586638541558998
9.381281863589173,-1.8314801161553222
9.364781317974105,-1.8540362411485627
9.35672811070439,-2.0049260016209915
9.332678761060855,-2.2390981197475344
9.12100844767426,-2.338079194572795
9.006530079528957,-2.309342839576936
9.174393477508172,-2.3512919827711003
9.212864228729863,-2.339479025881059
9.118218840717686,-2.3855407081570204
9.012396455261328,-2.238144719963057
8.99129884201913,-2.237328800072376
8.847116860754374,-2.051170091517112
9.034528516047127,-1.8693264245726235
8.916537857314943,-1.642079067210122
8.896249262470752,-1.4272824285120398
8.990052975799276,-1.1237168118871697
9.064350868485509,-1.0251033946754755
9.061743546891103,-0.8061404362300526
8.922184265050536,-0.533774899601845
9.078613821691492,-0.4821788707625951
8.997717711246345,-0.36803174208474604
9.003506221915645,-0.14383296873613977
9.347952013419635,-0.10858802309765432
9.079701184456418,0.03313622015006021
9.191016641507225,0.015612902693028528
9.328317952321868,-0.0930795286690683
9.234820160940833,-0.026567771619024308
9.305524429199286,0.05408172531103904
9.366512108993607,0.0109865915602602
9.446145420084529,-0.004475602666989972
9.551641837540629,0.12231374850581413
9.659655489269138,0.10649288363776555
9.653599246794,0.14613755894053948
9.468386313983245,0.3278390647014216
9.610149710956605,0.4203033213217119
9.752733581877873,0.5551415647232961
9.866718133465039,0.7386847629356174
9.769751911183201,0.9864647979290703
9.95028532738946,1.1669846418529721
10.215745100970146,1.5089070521263042
9.787003794771746,1.559043262749172
10.008233699169395,1.7786950345580352
10.275057769366823,1.9973294453432144
10.412548091144417,2.073992775147281
10.193848694737946,2.2355852894687853
10.354593670654753,2.2803438780526437
10.6216875494673,2.332321695033845
10.552804790069919,2.3010851603522626
10.49870065174432,2.370601526961848
10.686140378464556,2.24475534682994
10.559480351454747,2.2094122157672316
10.509332501411023,2.0700742742013074
10.639758630097473,1.8819675992324536
10.83728608356382,1.7772794070930287
10.96024676315934,1.7202013454472302
11.066073192330746,1.599810481347581
10.832795674862886,1.4712883175941318
10.810189877375809,1.4575517261153044
10.785457927487112,1.3342803947369015
11.071510023881999,1.2222668947724196
10.979427749932885,1.1193924932540291
10.8807930972091,1.3979504124039337
11.114575883277077,1.3054269117361315
11.083148927882759,1.3330234582331297
10.955637338528001,1.379564968438507
11.02258366142889,1.4163756230185487
10.818791517023,1.4463941071387056
11.056351360853931,1.4231727812089552
11.07645573044599,1.4124421356413148
10.944477591698618,1.426629712100444
10.934714357574846,1.3473224245268276
10.953668986429943,1.1779244363127814
10.761739194902187,1.0185088700078386
10.949746224962334,0.8284655525341504
